"","alpha","lambda","y","type","run"
"1",0.997957218717784,0.589914051676169,2.30199790000916,"random",1
"2",0.103786408957094,0.267417779443786,0.130670607089996,"random",1
"3",0.884933337783441,0.121394812380895,0.696087539196014,"random",1
"4",0.300484133763239,0.170796744208783,0.109496310353279,"random",1
"5",0.843093022992834,0.940995610868558,0.34906405210495,"random",1
"6",0.145697410805151,0.356485794521868,0.117070384323597,"random",1
"7",0.755369311524555,0.725406225295737,0.180581137537956,"random",1
"8",0.234977956227958,0.366963896462694,0.103195801377296,"random",1
"9",0.59081066085957,0.457077152607963,0.134098127484322,"random",1
"10",0.629888318451121,0.693618431352079,0.141279727220535,"random",1
"11",0.834639693917707,0.876806232798845,0.358043700456619,"random",1
"12",0.0330713663902134,0.65160909675993,0.134271845221519,"random",1
"13",0.397575087780133,0.419039073409513,0.103263683617115,"random",1
"14",0.252048819018528,0.0108795131649822,0.111237823963165,"random",1
"15",0.958479114836082,0.804537209430709,2.08164119720459,"random",1
"16",0.468104801950976,0.760811112057418,0.111444130539894,"random",1
"17",0.322683590725064,0.114991177255288,0.0996424630284309,"random",1
"18",0.423426325619221,0.982218744074926,0.106058478355408,"random",1
"19",0.529464202504605,0.490646587684751,0.118256665766239,"random",1
"20",0.502326456094161,0.212631614832208,0.112020894885063,"random",1
"21",0.172636667573825,0.0792939503211528,0.11167898774147,"random",1
"22",0.788782397061586,0.281249141572043,0.23376838862896,"random",1
"23",0.0553205094579607,0.600787458801642,0.130240768194199,"random",1
"24",0.693826713897288,0.55677896999754,0.15391218662262,"random",1
"25",0.641803786521777,0.881797830946743,0.137284055352211,"random",1
"26",0.01,0.01,0.144443348050117,"grid",1
"27",0.25,0.01,0.109711296856403,"grid",1
"28",0.5,0.01,0.115857861936092,"grid",1
"29",0.75,0.01,0.19501918554306,"grid",1
"30",0.99,0.01,2.30202507972717,"grid",1
"31",0.01,0.25,0.130103379487991,"grid",1
"32",0.25,0.25,0.108298979699612,"grid",1
"33",0.5,0.25,0.111667297780514,"grid",1
"34",0.75,0.25,0.189272195100784,"grid",1
"35",0.99,0.25,2.30203819274902,"grid",1
"36",0.01,0.5,0.148896366357803,"grid",1
"37",0.25,0.5,0.100292824208736,"grid",1
"38",0.5,0.5,0.11421149969101,"grid",1
"39",0.75,0.5,0.198698669672012,"grid",1
"40",0.99,0.5,2.30206179618835,"grid",1
"41",0.01,0.75,0.152369678020477,"grid",1
"42",0.25,0.75,0.104529716074467,"grid",1
"43",0.5,0.75,0.109073840081692,"grid",1
"44",0.75,0.75,0.192976281046867,"grid",1
"45",0.99,0.75,2.30213499069214,"grid",1
"46",0.01,0.99,0.153158962726593,"grid",1
"47",0.25,0.99,0.106289058923721,"grid",1
"48",0.5,0.99,0.115412831306458,"grid",1
"49",0.75,0.99,0.187592595815659,"grid",1
"50",0.99,0.99,2.30206561088562,"grid",1
"51",0.498042941520301,0.162133670528419,0.115264259278774,"bayesian",1
"52",0.601061505323742,0.804593096661847,0.132948517799377,"bayesian",1
"53",0.732820942338246,0.375690524097687,0.176267817616463,"bayesian",1
"54",0.950534328081024,0.710341915953904,2.01440572738647,"bayesian",1
"55",0.0971620462757225,0.270640500549537,0.122933432459831,"bayesian",1
"56",0.19421899667941,0.9558369696994,0.105956815183163,"bayesian",1
"57",0.842670111354285,0.613234585422712,0.335714280605316,"bayesian",1
"58",0.528793997810377,0.188541425702473,0.118287980556488,"bayesian",1
"59",0.781974648901572,0.911974716136077,0.225014790892601,"bayesian",1
"60",0.345177356541778,0.566626381323052,0.108664110302925,"bayesian",1
"61",0.287015982127438,0.0473688764031976,0.105711884796619,"bayesian",1
"62",0.0691672436272105,0.444891542894766,0.129183918237686,"bayesian",1
"63",0.177690460656585,0.001,0.126637607812881,"bayesian",1
"64",0.349720844462146,0.001,0.0960296615958214,"bayesian",1
"65",0.32995141587277,0.001,0.107523322105408,"bayesian",1
"66",0.416736937673277,0.001,0.110350556671619,"bayesian",1
"67",0.354546485515338,0.261314045214465,0.105332121253014,"bayesian",1
"68",0.375830047579279,0.001,0.108584485948086,"bayesian",1
"69",0.480982006604484,0.001,0.108930543065071,"bayesian",1
"70",0.242178304682785,0.473208061855492,0.119264163076878,"bayesian",1
"71",0.479515187640842,0.999,0.104189328849316,"bayesian",1
"72",0.467854511479079,0.370142289613984,0.115760490298271,"bayesian",1
"73",0.4525847115592,0.001,0.101962059736252,"bayesian",1
"74",0.350716183160409,0.001,0.105291627347469,"bayesian",1
"75",0.281875142355449,0.001,0.110907986760139,"bayesian",1
"76",0.804345661336556,0.901655862843618,0.257950603961945,"random",2
"77",0.399121193410829,0.619725467395037,0.113647483289242,"random",2
"78",0.55770594089292,0.498296326873824,0.121046327054501,"random",2
"79",0.31387376700528,0.0913785356562585,0.0986778438091278,"random",2
"80",0.640793357715011,0.595712081668898,0.142854049801826,"random",2
"81",0.127655116999522,0.233714315686375,0.111816629767418,"random",2
"82",0.75888549159281,0.333968486739323,0.197395384311676,"random",2
"83",0.780660155359656,0.0209855953138322,0.21208256483078,"random",2
"84",0.227292288793251,0.266308712456375,0.116991311311722,"random",2
"85",0.0611303134355694,0.731265561021864,0.128764986991882,"random",2
"86",0.931324133332819,0.0545729440357536,1.76911067962646,"random",2
"87",0.33520488393493,0.400615003043786,0.106151200830936,"random",2
"88",0.0288949289359152,0.787950406130403,0.136948391795158,"random",2
"89",0.578031470933929,0.973570521632209,0.128930822014809,"random",2
"90",0.275448078494519,0.364766267901286,0.110643409192562,"random",2
"91",0.189623472290114,0.829896093243733,0.111391469836235,"random",2
"92",0.416598056443036,0.855770208314061,0.0971689373254776,"random",2
"93",0.844351228671148,0.95523799479939,0.377747476100922,"random",2
"94",0.104710755106062,0.462899185409769,0.12112171202898,"random",2
"95",0.478447307562456,0.3059855703637,0.110318891704082,"random",2
"96",0.518114905878902,0.716958657372743,0.119356259703636,"random",2
"97",0.999893236672506,0.168699950007722,2.32407784461975,"random",2
"98",0.682528339419514,0.53346596904099,0.154011562466621,"random",2
"99",0.615346242012456,0.670857347594574,0.131901293992996,"random",2
"100",0.889887278173119,0.141549230664968,0.692593097686768,"random",2
"101",0.01,0.01,0.141362100839615,"grid",2
"102",0.25,0.01,0.103068515658379,"grid",2
"103",0.5,0.01,0.114791445434093,"grid",2
"104",0.75,0.01,0.182634100317955,"grid",2
"105",0.99,0.01,2.30212020874023,"grid",2
"106",0.01,0.25,0.133021831512451,"grid",2
"107",0.25,0.25,0.116076983511448,"grid",2
"108",0.5,0.25,0.108142845332623,"grid",2
"109",0.75,0.25,0.20168137550354,"grid",2
"110",0.99,0.25,2.30215835571289,"grid",2
"111",0.01,0.5,0.130624189972878,"grid",2
"112",0.25,0.5,0.108774729073048,"grid",2
"113",0.5,0.5,0.116009376943111,"grid",2
"114",0.75,0.5,0.194524988532066,"grid",2
"115",0.99,0.5,2.30205512046814,"grid",2
"116",0.01,0.75,0.135434165596962,"grid",2
"117",0.25,0.75,0.109473772346973,"grid",2
"118",0.5,0.75,0.108300931751728,"grid",2
"119",0.75,0.75,0.184109091758728,"grid",2
"120",0.99,0.75,2.30217909812927,"grid",2
"121",0.01,0.99,0.142923071980476,"grid",2
"122",0.25,0.99,0.10119815915823,"grid",2
"123",0.5,0.99,0.115761913359165,"grid",2
"124",0.75,0.99,0.19048573076725,"grid",2
"125",0.99,0.99,2.30205774307251,"grid",2
"126",0.637278148322366,0.588953517028131,0.149339824914932,"bayesian",2
"127",0.425395691631517,0.692057998598708,0.105545707046986,"bayesian",2
"128",0.723259652964771,0.354144740267657,0.182619869709015,"bayesian",2
"129",0.0720575031397554,0.90840613405453,0.114781938493252,"bayesian",2
"130",0.414865706038351,0.922045134007931,0.108752623200417,"bayesian",2
"131",0.965306115530742,0.816590700531378,2.03268003463745,"bayesian",2
"132",0.891852291591931,0.0330644311228146,0.932330965995789,"bayesian",2
"133",0.15451661592427,0.155116193869617,0.112384043633938,"bayesian",2
"134",0.768125846613354,0.296615440088014,0.205027744174004,"bayesian",2
"135",0.262028878981558,0.42371018937168,0.105414628982544,"bayesian",2
"136",0.567028521521327,0.16759036302877,0.127134397625923,"bayesian",2
"137",0.171409335647089,0.519830058639248,0.109869137406349,"bayesian",2
"138",0.401676338165777,0.001,0.108630463480949,"bayesian",2
"139",0.001,0.465274019485871,0.127938717603683,"bayesian",2
"140",0.186400379400785,0.329221497520492,0.10906408727169,"bayesian",2
"141",0.350129398396341,0.129090901546581,0.109581492841244,"bayesian",2
"142",0.243326530621181,0.367021702970079,0.108985938131809,"bayesian",2
"143",0.161966368872533,0.43309569075246,0.114634461700916,"bayesian",2
"144",0.217725867982834,0.776070682866343,0.108339861035347,"bayesian",2
"145",0.246550270137747,0.616189747386003,0.120724327862263,"bayesian",2
"146",0.508095871768918,0.54664717968601,0.111984148621559,"bayesian",2
"147",0.259396508394071,0.456235963586632,0.105078399181366,"bayesian",2
"148",0.260967576789589,0.453661007171742,0.106677979230881,"bayesian",2
"149",0.261828905911419,0.445112232234999,0.102677784860134,"bayesian",2
"150",0.26736498388592,0.44957323459543,0.11425469070673,"bayesian",2
"151",0.532170138237998,0.306672486420721,0.117023922502995,"random",3
"152",0.468717593681067,0.321878253659233,0.111970357596874,"random",3
"153",0.209605557173491,0.694155029319227,0.117906309664249,"random",3
"154",0.709179096892476,0.201476382091641,0.160141974687576,"random",3
"155",0.955507178464904,0.0227985417377204,2.00953006744385,"random",3
"156",0.0661132959090173,0.646498475922272,0.116639696061611,"random",3
"157",0.150947756795213,0.816278945803642,0.111998118460178,"random",3
"158",0.28868157768622,0.480544875701889,0.114799492061138,"random",3
"159",0.810223654173315,0.0444876047503203,0.268965691328049,"random",3
"160",0.76946209045127,0.158025971045718,0.226441368460655,"random",3
"161",0.0855214531254023,0.731886899732053,0.140708148479462,"random",3
"162",0.373935905462131,0.944537110282108,0.100717447698116,"random",3
"163",0.60235500597395,0.575512083945796,0.129359602928162,"random",3
"164",0.516691199271008,0.448732452411205,0.124254904687405,"random",3
"165",0.580258635692298,0.417253922233358,0.124212749302387,"random",3
"166",0.857698501842096,0.251645691422746,0.407677888870239,"random",3
"167",0.0163669551350176,0.778660643370822,0.151063591241837,"random",3
"168",0.744953671563417,0.11010982840322,0.191730633378029,"random",3
"169",0.902042514299974,0.638285621749237,0.799342751502991,"random",3
"170",0.262149986131117,0.966256843069568,0.104094736278057,"random",3
"171",0.427840774785727,0.542127192737535,0.0986979901790619,"random",3
"172",0.653448851434514,0.361460771746933,0.13540218770504,"random",3
"173",0.961545516867191,0.917800983292982,2.02333521842957,"random",3
"174",0.351775171849877,0.185302036385983,0.0997256264090538,"random",3
"175",0.164218615395948,0.857748541869223,0.109653025865555,"random",3
"176",0.01,0.01,0.155707120895386,"grid",3
"177",0.25,0.01,0.113309569656849,"grid",3
"178",0.5,0.01,0.113645374774933,"grid",3
"179",0.75,0.01,0.188827589154243,"grid",3
"180",0.99,0.01,2.30212330818176,"grid",3
"181",0.01,0.25,0.142291009426117,"grid",3
"182",0.25,0.25,0.10483580827713,"grid",3
"183",0.5,0.25,0.112033143639565,"grid",3
"184",0.75,0.25,0.184832990169525,"grid",3
"185",0.99,0.25,2.30205965042114,"grid",3
"186",0.01,0.5,0.148100107908249,"grid",3
"187",0.25,0.5,0.110663190484047,"grid",3
