"","alpha","lambda","y","type","run"
"1",0.691247522681952,0.401587508004159,0.15889585018158,"random",11
"2",0.288168965009972,0.357242216393352,0.10594168305397,"random",11
"3",0.733274970157072,0.995563603173941,0.17893585562706,"random",11
"4",0.550917637338862,0.604014243418351,0.120995663106441,"random",11
"5",0.575562300560996,0.197522303238511,0.128161400556564,"random",11
"6",0.336701675420627,0.298849483439699,0.0956966727972031,"random",11
"7",0.172375680273399,0.82000034221448,0.118295080959797,"random",11
"8",0.417025411892682,0.029112215815112,0.109631136059761,"random",11
"9",0.917078447435051,0.641617954475805,1.44964063167572,"random",11
"10",0.603702788222581,0.73390097851865,0.134297713637352,"random",11
"11",0.035918489722535,0.922988531608135,0.133082136511803,"random",11
"12",0.369892496336251,0.0516309726703912,0.0983586311340332,"random",11
"13",0.479111430980265,0.201633066385984,0.108993142843246,"random",11
"14",0.79847875693813,0.783327338434756,0.245833113789558,"random",11
"15",0.0898308162856847,0.870494078919292,0.116688452661037,"random",11
"16",0.226114141289145,0.278132046442479,0.110927999019623,"random",11
"17",0.50768940991722,0.595944310938939,0.110941872000694,"random",11
"18",0.259865130791441,0.373376149646938,0.0977721959352493,"random",11
"19",0.981525448989123,0.511263489602134,2.30206537246704,"random",11
"20",0.0636963754892349,0.473208050495014,0.129082530736923,"random",11
"21",0.645912888813764,0.534092472400516,0.139371573925018,"random",11
"22",0.921628251196817,0.919450948843732,1.47485268115997,"random",11
"23",0.861153264669701,0.144544739956036,0.41362264752388,"random",11
"24",0.806260762084275,0.0802363649103791,0.2564457654953,"random",11
"25",0.13555754410103,0.70161786550656,0.11108011752367,"random",11
"26",0.01,0.01,0.136356309056282,"grid",11
"27",0.25,0.01,0.110035434365273,"grid",11
"28",0.5,0.01,0.115438468754292,"grid",11
"29",0.75,0.01,0.192374885082245,"grid",11
"30",0.99,0.01,2.30214929580688,"grid",11
"31",0.01,0.25,0.136223763227463,"grid",11
"32",0.25,0.25,0.0966449603438377,"grid",11
"33",0.5,0.25,0.112745329737663,"grid",11
"34",0.75,0.25,0.193403720855713,"grid",11
"35",0.99,0.25,2.3021252155304,"grid",11
"36",0.01,0.5,0.130720973014832,"grid",11
"37",0.25,0.5,0.104351706802845,"grid",11
"38",0.5,0.5,0.112233847379684,"grid",11
"39",0.75,0.5,0.193276673555374,"grid",11
"40",0.99,0.5,2.30209612846375,"grid",11
"41",0.01,0.75,0.14325724542141,"grid",11
"42",0.25,0.75,0.100608289241791,"grid",11
"43",0.5,0.75,0.111521579325199,"grid",11
"44",0.75,0.75,0.195596143603325,"grid",11
"45",0.99,0.75,2.30209970474243,"grid",11
"46",0.01,0.99,0.135760143399239,"grid",11
"47",0.25,0.99,0.107955172657967,"grid",11
"48",0.5,0.99,0.114049650728703,"grid",11
"49",0.75,0.99,0.190246120095253,"grid",11
"50",0.99,0.99,2.30211544036865,"grid",11
"51",0.64509088198732,0.196880625211634,0.146140113472939,"bayesian",11
"52",0.316437682893593,0.920086718533033,0.105530373752117,"bayesian",11
"53",0.894185926706996,0.324437067223092,0.82468569278717,"bayesian",11
"54",0.431781648444788,0.8823234961795,0.100352741777897,"bayesian",11
"55",0.0116569166226933,0.55648022548606,0.139797672629356,"bayesian",11
"56",0.396952810697258,0.370329752952481,0.108930416405201,"bayesian",11
"57",0.0850882604524183,0.831915756862145,0.117567263543606,"bayesian",11
"58",0.682906629090818,0.468781494710129,0.157355770468712,"bayesian",11
"59",0.534675988601521,0.0976809459583213,0.117960885167122,"bayesian",11
"60",0.998231390471725,0.63373842080667,2.30211925506592,"bayesian",11
"61",0.800662141215677,0.737055712651151,0.234787061810493,"bayesian",11
"62",0.180531532445457,0.00626832467969507,0.121812798082829,"bayesian",11
"63",0.001,0.999,0.122627012431622,"bayesian",11
"64",0.397405292451044,0.999,0.110965810716152,"bayesian",11
"65",0.175837699095518,0.999,0.12507089972496,"bayesian",11
"66",0.357645290640943,0.706824031267047,0.113717399537563,"bayesian",11
"67",0.446994012162278,0.810878584226512,0.108169130980968,"bayesian",11
"68",0.702861532851743,0.999,0.166934326291084,"bayesian",11
"69",0.472536397353224,0.999,0.107768207788467,"bayesian",11
"70",0.426661526349756,0.902772025576226,0.106937244534492,"bayesian",11
"71",0.669561181856239,0.798990743823627,0.151730999350548,"bayesian",11
"72",0.441654586983843,0.907918996836793,0.111160084605217,"bayesian",11
"73",0.388797420853431,0.826181342700593,0.10051404684782,"bayesian",11
"74",0.388219674553106,0.829398869477129,0.100883036851883,"bayesian",11
"75",0.389084721456708,0.827912945978697,0.102770887315273,"bayesian",11
"76",0.494929195791483,0.855563010387123,0.115602679550648,"random",12
"77",0.954502572724596,0.773232070440427,2.01074695587158,"random",12
"78",0.682175042014569,0.193834783686325,0.148400411009789,"random",12
"79",0.139701449433342,0.527613122947514,0.116915829479694,"random",12
"80",0.40133437233977,0.0318559355847538,0.104530535638332,"random",12
"81",0.0758920637797564,0.640703007960692,0.124646902084351,"random",12
"82",0.758675311822444,0.250479776989669,0.194337204098701,"random",12
"83",0.0091113343834877,0.7366716011893,0.135573133826256,"random",12
"84",0.660900671929121,0.961625772612169,0.145413815975189,"random",12
"85",0.888215555185452,0.695352936768904,0.924226462841034,"random",12
"86",0.332552404524758,0.0480121793504804,0.108457781374454,"random",12
"87",0.624588624890894,0.933917789589614,0.136717066168785,"random",12
"88",0.230161291770637,0.0881626071408391,0.110895775258541,"random",12
"89",0.833346976144239,0.824920648857951,0.307307243347168,"random",12
"90",0.379421210801229,0.468161238348112,0.103052400052547,"random",12
"91",0.778507842365652,0.405491575542837,0.216402933001518,"random",12
"92",0.307913768468425,0.567912488328293,0.103284411132336,"random",12
"93",0.550414497544989,0.297475618766621,0.121792815625668,"random",12
"94",0.474047322543338,0.202434175685048,0.11106564104557,"random",12
"95",0.993151553440839,0.616305251363665,2.30199551582336,"random",12
"96",0.579606065116823,0.152440604269505,0.124395459890366,"random",12
"97",0.161414106748998,0.508847580198199,0.113563388586044,"random",12
"98",0.0921323367021978,0.322257595891133,0.120280973613262,"random",12
"99",0.847980064107105,0.395496837645769,0.372598171234131,"random",12
"100",0.254493177970871,0.893370551904663,0.101366259157658,"random",12
"101",0.01,0.01,0.138359472155571,"grid",12
"102",0.25,0.01,0.103142499923706,"grid",12
"103",0.5,0.01,0.116205640137196,"grid",12
"104",0.75,0.01,0.195006042718887,"grid",12
"105",0.99,0.01,2.30216431617737,"grid",12
"106",0.01,0.25,0.1378473341465,"grid",12
"107",0.25,0.25,0.113036073744297,"grid",12
"108",0.5,0.25,0.110226981341839,"grid",12
"109",0.75,0.25,0.185850769281387,"grid",12
"110",0.99,0.25,2.3020715713501,"grid",12
"111",0.01,0.5,0.134278848767281,"grid",12
"112",0.25,0.5,0.101089835166931,"grid",12
"113",0.5,0.5,0.106909178197384,"grid",12
"114",0.75,0.5,0.185846745967865,"grid",12
"115",0.99,0.5,2.30211067199707,"grid",12
"116",0.01,0.75,0.140362784266472,"grid",12
"117",0.25,0.75,0.0998850539326668,"grid",12
"118",0.5,0.75,0.10729418694973,"grid",12
"119",0.75,0.75,0.186936691403389,"grid",12
"120",0.99,0.75,2.30207800865173,"grid",12
"121",0.01,0.99,0.137575373053551,"grid",12
"122",0.25,0.99,0.103309638798237,"grid",12
"123",0.5,0.99,0.112973563373089,"grid",12
"124",0.75,0.99,0.199701473116875,"grid",12
"125",0.99,0.99,2.30208873748779,"grid",12
"126",0.384125995954188,0.715085154787327,0.117826782166958,"bayesian",12
"127",0.110570942750201,0.275041704570564,0.116496630012989,"bayesian",12
"128",0.625451530310481,0.838860606580662,0.141633629798889,"bayesian",12
"129",0.746057352963059,0.827253042894881,0.178698629140854,"bayesian",12
"130",0.781926483071099,0.932558094170721,0.231093600392342,"bayesian",12
"131",0.183936163666658,0.462266663535653,0.10967518389225,"bayesian",12
"132",0.263420660514385,0.35454382111008,0.0984155088663101,"bayesian",12
"133",0.00960243619435156,0.241819186873424,0.131979912519455,"bayesian",12
"134",0.48130908125313,0.543278437845098,0.108085289597511,"bayesian",12
"135",0.983558470596715,0.665179368981626,2.3020646572113,"bayesian",12
"136",0.862481245577025,0.110031923473192,0.45575475692749,"bayesian",12
"137",0.54089112735043,0.00207664291762436,0.108845509588718,"bayesian",12
"138",0.721271257479619,0.001,0.175164103507996,"bayesian",12
"139",0.424294816445039,0.195003811204169,0.10146552324295,"bayesian",12
"140",0.30009500638861,0.603527607156161,0.0990628227591515,"bayesian",12
"141",0.373491159992889,0.469531327531867,0.10646978020668,"bayesian",12
"142",0.28510736873351,0.001,0.107236854732037,"bayesian",12
"143",0.153321599155389,0.001,0.115644387900829,"bayesian",12
"144",0.21009390935686,0.235615172501472,0.116141743957996,"bayesian",12
"145",0.275776908876044,0.487210060447607,0.107367336750031,"bayesian",12
"146",0.621808412454237,0.565371227596562,0.132571831345558,"bayesian",12
"147",0.379620210302283,0.31582732499298,0.107521317899227,"bayesian",12
"148",0.290468723308638,0.322534464993608,0.107866801321507,"bayesian",12
"149",0.194809351521957,0.355025384613211,0.109968259930611,"bayesian",12
"150",0.276422236138071,0.999,0.103082247078419,"bayesian",12
"151",0.895444989344105,0.499543429557234,0.840975165367126,"random",13
"152",0.756629803078249,0.5805520792678,0.193676128983498,"random",13
"153",0.879714289521799,0.909182910993695,0.559196710586548,"random",13
"154",0.247328293435276,0.977769433846697,0.108163058757782,"random",13
"155",0.0406101277656853,0.837797454791144,0.125862509012222,"random",13
"156",0.762120965644717,0.798448455519974,0.202015668153763,"random",13
"157",0.113036481318995,0.328807356012985,0.12439551949501,"random",13
