"","alpha","lambda","y","type","run"
"1",0.657657202156261,0.405835827700794,0.24652661383152,"random",1
"2",0.174816525895149,0.338436884302646,0.155370682477951,"random",1
"3",0.0304998514335603,0.765475463364273,0.135087415575981,"random",1
"4",0.30881967285648,0.707785984389484,0.151790663599968,"random",1
"5",0.134989600749686,0.595161275016144,0.153953015804291,"random",1
"6",0.508942276006564,0.31150869875215,0.18530897796154,"random",1
"7",0.743025881340727,0.811798561951146,0.305583029985428,"random",1
"8",0.700307970615104,0.936931459484622,0.259075731039047,"random",1
"9",0.228718797052279,0.112336091594771,0.148544520139694,"random",1
"10",0.0475918151345104,0.75672224489972,0.134149849414825,"random",1
"11",0.833080951739103,0.179654914690182,0.555428206920624,"random",1
"12",0.454873001780361,0.65962568378076,0.182743042707443,"random",1
"13",0.0848069571517408,0.246354539766908,0.146411329507828,"random",1
"14",0.925847605131566,0.860156776802614,2.035480260849,"random",1
"15",0.637452906239778,0.361776352971792,0.234720453619957,"random",1
"16",0.520816592676565,0.0398291364312172,0.19790044426918,"random",1
"17",0.33085101544857,0.0719697748590261,0.158950313925743,"random",1
"18",0.766804548949003,0.203392914552242,0.327047795057297,"random",1
"19",0.882534393304959,0.450418502008542,1.32733130455017,"random",1
"20",0.561151815894991,0.135954886116087,0.207262426614761,"random",1
"21",0.361670242194086,0.612980569442734,0.162196844816208,"random",1
"22",0.866293469173834,0.919662693506107,0.958185970783234,"random",1
"23",0.41549103429541,0.553911596247926,0.167851001024246,"random",1
"24",0.97228237092495,0.496413967255503,2.3017430305481,"random",1
"25",0.257360459715128,0.993301701843739,0.153063371777534,"random",1
"26",0.01,0.01,0.144780889153481,"grid",1
"27",0.25,0.01,0.150584876537323,"grid",1
"28",0.5,0.01,0.180084004998207,"grid",1
"29",0.75,0.01,0.307644486427307,"grid",1
"30",0.9,0.01,1.91892158985138,"grid",1
"31",0.01,0.25,0.135760992765427,"grid",1
"32",0.25,0.25,0.149163320660591,"grid",1
"33",0.5,0.25,0.188051477074623,"grid",1
"34",0.75,0.25,0.308842271566391,"grid",1
"35",0.9,0.25,1.74657356739044,"grid",1
"36",0.01,0.5,0.135951280593872,"grid",1
"37",0.25,0.5,0.1512231528759,"grid",1
"38",0.5,0.5,0.192580580711365,"grid",1
"39",0.75,0.5,0.302941650152206,"grid",1
"40",0.9,0.5,1.75911056995392,"grid",1
"41",0.01,0.75,0.134545475244522,"grid",1
"42",0.25,0.75,0.15497887134552,"grid",1
"43",0.5,0.75,0.193991765379906,"grid",1
"44",0.75,0.75,0.299112975597382,"grid",1
"45",0.9,0.75,1.71660125255585,"grid",1
"46",0.01,0.9,0.132676497101784,"grid",1
"47",0.25,0.9,0.149543717503548,"grid",1
"48",0.5,0.9,0.199020385742188,"grid",1
"49",0.75,0.9,0.30032953619957,"grid",1
"50",0.9,0.9,1.67848384380341,"grid",1
"51",0.572550138672038,0.957191002826827,0.203061893582344,"bayesian",1
"52",0.0465506776235998,0.799748117647444,0.145600453019142,"bayesian",1
"53",0.348018256132491,0.618404788411378,0.165404036641121,"bayesian",1
"54",0.639567002731686,0.215912983306528,0.232835486531258,"bayesian",1
"55",0.876498989023579,0.553303278866224,1.28225207328796,"bayesian",1
"56",0.94036178017268,0.270833550544921,2.23552799224854,"bayesian",1
"57",0.228374040472166,0.368275962595362,0.152032047510147,"bayesian",1
"58",0.26201964460779,0.850574678721993,0.147884860634804,"bayesian",1
"59",0.753518558669991,0.0860577283892781,0.319300711154938,"bayesian",1
"60",0.485930280216659,0.493524183946041,0.17847153544426,"bayesian",1
"61",0.695446376378338,0.0664960662058244,0.254760384559631,"bayesian",1
"62",0.127177790932668,0.695041632240949,0.138839676976204,"bayesian",1
"63",0.160893164158352,0.999,0.150102972984314,"bayesian",1
"64",0.001,0.001,0.155528277158737,"bayesian",1
"65",0.116720169530093,0.419794092901676,0.146418556571007,"bayesian",1
"66",0.176464956670556,0.703122693860477,0.143795937299728,"bayesian",1
"67",0.0679068404862799,0.632424923629576,0.149450585246086,"bayesian",1
"68",0.121582960365364,0.752262260894846,0.157615303993225,"bayesian",1
"69",0.169493456543158,0.523569306982453,0.139538690447807,"bayesian",1
"70",0.348282654351458,0.000999999999999945,0.176674738526344,"bayesian",1
"71",0.133505083840793,0.567362283810237,0.147573098540306,"bayesian",1
"72",0.201762148516177,0.607665791498244,0.158191755414009,"bayesian",1
"73",0.001,0.770377987027032,0.132446154952049,"bayesian",1
"74",0.001,0.999,0.137337282299995,"bayesian",1
"75",0.001,0.913765340752948,0.155336543917656,"bayesian",1
